house_id,location,sqft,bedrooms,bathrooms,age_years,garage,has_pool,lot_size,renovated,sale_year,sale_month,school_rating,distance_to_city_km,price
201,Old Town,2000,6,3,50,2,0,1322,1,2026,8,6,6.1,288263
585,Hillcrest,2520,3,2.5,8,0,0,5288,0,2026,7,3,3.1,397048
808,Hillcrest,1706,3,3,50,2,0,5741,1,2026,9,9,4.8,350497
896,Old Town,2403,3,2,5,2,0,6644,1,2023,3,3,15.3,313767
337,Lakeside,1259,2,1,20,1,0,7731,1,2024,6,1,5.8,301964
315,Downtown,1777,3,3,78,1,0,4870,0,2025,3,1,9.9,355892
312,West End,1203,4,1.5,28,1,1,7052,0,2022,7,7,5.7,203762
199,West End,1564,3,3,75,3,0,5683,0,2025,12,8,9.8,261582
1031,Old Town,1735,4,3.5,37,2,0,8682,0,2026,6,2,2.9,257475
190,GREEN VALLEY  ,2903,1,,64,0,0,2295,0,2026,5,6,13.7,348285
191,Downtown,1937,4,2,67,1,0,8143,1,2026,5,2,11.9,490623
50,Lakeside,1572,3,2.5,62,2,0,4534,1,2026,8,7,1,380745
647,West End,2700,2,2.5,35,1,0,3520,0,2023,1,1,6.7,361196
336,Green Valley,1429,4,1,29,1,0,1000,1,2025,11,3,5.9,213459
484,Hillcrest,1379,3,2,76,2,0,8349,0,2025,3,9,1.8,271080
1069,North Ridge,1262,4,2,75,1,1,11448,0,2024,8,9,2.2,297977
415,Old Town,2086,3,3,2,2,0,6859,1,2025,2,1,9.4,292317
268,Lakeside,2098,5,1.5,33,0,0,,0,2025,3,10,11.2,506472
256,North Ridge,779,3,1,64,,0,6528,0,2024,3,10,6.2,193089
120,Green Valley,958,1,2.5,15,0,0,,0,2026,5,5,15.9,171415
284,Downtown,1500,2,2,53,2,0,8135,0,2022,2,1,7.3,305895
859,Downtown,1406,1,2.5,9,1,0,3298,0,2024,11,1,1.6,348436
1094,Green Valley,1749,6,2,34,1,0,9539,0,2023,10,5,5.4,278403
82,West End,1201,2,2,22,2,1,8060,0,2025,1,10,16.5,236348
600,West End,2483,2,2,50,2,0,6753,1,2026,6,1,1.1,371482
542,Downtown,400,4,1.5,11,1,0,9497,0,2025,5,6,4.4,223027
962,Old Town,1558,3,1.5,67,0,0,4666,1,2026,11,10,1.2,249805
322,West End,2239,6,2,70,1,0,1000,0,2023,5,2,9.2,298203
232,North Ridge,921,2,1.5,78,2,0,6939,0,2026,6,1,0.5,182663
